Date,Microsoft (Power BI),Salesforce (Tableau),IBM (Cognos)
2019-10-31,143.3904920656591,115.44815773268071,120.22230862988887
2019-11-01,143.74053663482954,117.84579822423665,121.84049691359715
2019-11-04,144.57065702100837,116.26704288469962,123.7643597954595
2019-11-05,144.48062673422206,116.67280057404743,123.96212794669302
2019-11-06,144.0805849815114,117.24822202799128,124.76220435838084
2019-11-07,144.280557644575,117.66874197515149,125.24433500435943
2019-11-08,145.9808154490815,118.85650188315309,125.17155268605369
2019-11-11,146.1309034262856,119.35077634146056,123.22495751270675
2019-11-12,147.09102291810788,120.14752946234381,123.33415419585285
2019-11-13,147.33102868441756,119.9557223110292,122.3244747323015
2019-11-14,148.08113107739592,120.28770277806386,121.88785508066715
2019-11-15,149.99142205184359,120.4057440626483,122.25172026082079
2019-11-18,150.3614590659912,120.08113336893686,122.1698227484612
2019-11-19,150.41148839172592,120.95904484103943,122.36085196804187
2019-11-20,150.15055805679862,121.1361010901246,121.16018969628487
2019-11-21,150.01001631136015,120.1622917201562,121.74231829088069
2019-11-22,150.12044082055488,120.11063517339578,122.19711263697273
2019-11-25,151.76628188977784,119.29914250586602,123.67979827017379
2019-11-26,152.56912962392587,119.91144689317497,122.8793320029358
2019-11-27,152.86017719509692,119.15157670565681,121.67866044890381
2019-11-29,151.9167877155104,120.16965013789651,122.29718484378999
2019-12-02,150.0803273618225,118.77534353193377,120.89637815839849
2019-12-03,149.83946982735864,119.19585212351105,120.17778155669507
2019-12-04,150.38140329767666,115.40389367040942,120.05955321997016
2019-12-05,150.46164628623862,116.72443440964197,119.98676161938941
2019-12-06,152.28812648853517,116.5695215472754,121.17837367301756
2019-12-09,151.89673098614423,116.1785034045741,121.81510989146143
2019-12-10,151.66596610075246,115.38176163927378,121.80598541513257
2019-12-11,152.2379203807307,115.37439186595053,121.66956381939997
2019-12-12,153.7833813765393,116.99739991217592,123.08856376379916
2019-12-13,155.07797254429818,118.87125278538255,122.07889358252282
2019-12-16,156.08153221198324,119.48356852827445,122.00610198194208
2019-12-17,155.23857101910284,119.24012754136525,122.08796236520165
2019-12-18,154.91739014059075,119.1294560301041,122.26080760804963
2019-12-19,156.26215527395956,120.49426083160795,122.39725705060724
2019-12-20,157.9682147445728,121.39430433484617,123.33415419585285
2019-12-23,157.9682147445728,120.79672813860078,123.29774911328748
2019-12-24,157.9380814372318,120.43524586710721,122.77928764294354
2019-12-26,159.23270474718515,121.36479117480432,122.71558338959166
2019-12-27,159.52370410506447,121.71151118848553,123.04308061627994
2019-12-30,158.14880566435465,119.83768102644477,120.8054304279101
2019-12-31,158.25923017354938,119.98523547107102,121.92424159868251
2020-01-02,161.18955369036186,123.19437998573966,123.17951149428754
2020-01-03,159.182450426089,122.58944537175395,122.19711263697273
2020-01-06,159.5939348000406,127.96013645322675,121.97880281115555
2020-01-07,158.1387933707688,129.8413818109225,122.06070032351512
2020-01-08,160.65771286911595,130.8225609542142,123.0794392874703
2020-01-09,162.66478399119433,132.49722554719997,124.38018304831952
2020-01-10,161.91211022265622,132.93985481432998,124.33470918307532
2020-01-13,163.85899508553882,135.63258148397256,124.25283023526576
2020-01-14,162.70489744992668,134.35631616259423,123.54333954534118
2020-01-15,163.75869536761067,133.57430258835748,124.27106990564847
2020-01-16,166.75926565049656,134.7768133985886,125.50812797769582
2020-01-17,167.6925303388165,134.43746315823063,125.80828890449756
2020-01-21,167.09045882259446,136.68017943183705,126.59052478362784
2020-01-22,166.2875789462519,134.8210888164428,130.88391113484073
2020-01-23,167.31122748549765,135.72849073742134,129.956147748199
2020-01-24,165.62525688644507,134.34893503368804,127.85490987328674
2020-01-27,162.855451488951,133.31611069921888,126.09026585456662
2020-01-28,166.04672141178804,134.89485468317298,126.9361781402238
2020-01-29,168.635919818403,134.09811291787267,125.24433500435943
2020-01-30,173.39269139531757,136.97526560992367,124.40749150138106
2020-01-31,170.83367450933534,134.4964781227314,130.73838362732928
2020-02-03,174.9983547214192,136.79082823193232,133.04876044035484
2020-02-04,180.75870203711602,138.94500502541322,135.63209183214565
2020-02-05,180.5379173031156,136.84247342310982,142.19948704291875
2020-02-06,184.28119727424547,137.75726782857748,142.59060498248388
2020-02-07,184.54207939588102,137.0121485432888,141.00055127431247
2020-02-10,189.36909773886893,139.52044919052295,141.9380053560583
